time;Short term adaptation of mixture formation bank 1: ---;Long term adaptation of mixture formation bank 1: ---;Engine speed: ---;Ignition timing adjustment cylinder 1: ---;Intake air temperature: ---;Absolute intake pressure: ---;Fuel Pressure: ---;Absolute load value: ---;Misfire sum counter: ---;Low fuel pressure, specified value: ---;Mixture adaptation factor at partial load: ---;Engine torque: ---;Air mass, specified value: ---
120450;1.6;-17.2;800.0;1.5;19.0;28.0;5650.0;23.1;0.0;5.73;-0.31;14.7;13.0
121261;1.6;-17.2;804.0;0.5;19.0;28.0;5630.0;22.7;0.0;5.73;-0.31;14.9;13.0
122039;1.6;-17.2;805.0;-0.5;19.0;28.0;5630.0;22.7;0.0;5.73;-0.31;14.8;12.0
122821;1.6;-17.2;802.0;-0.5;19.0;28.0;5630.0;23.1;0.0;5.73;-0.31;15.1;12.0
123602;1.6;-17.2;796.0;1.5;19.0;29.0;5630.0;23.1;0.0;5.73;-0.31;15.2;13.0
124380;1.6;-17.2;798.0;2.0;19.0;28.0;5640.0;22.7;0.0;5.73;-0.31;14.5;12.0
125159;1.6;-17.2;801.0;0.5;19.0;28.0;5620.0;22.7;0.0;5.73;-0.31;14.8;12.0
125941;1.6;-17.2;800.0;0.5;19.0;28.0;5640.0;22.7;0.0;5.73;-0.31;15.4;12.0
126721;1.6;-17.2;797.0;2.0;20.0;28.0;5630.0;23.1;0.0;5.73;-0.31;14.7;13.0
127504;1.6;-17.2;804.0;0.5;20.0;28.0;5610.0;22.7;0.0;5.73;-0.31;14.4;13.0
128282;1.6;-17.2;800.0;0.0;19.0;29.0;5640.0;22.7;0.0;5.73;-0.31;14.9;12.0
129090;1.6;-17.2;795.0;0.0;20.0;28.0;5590.0;22.7;0.0;5.73;-0.31;14.5;12.0
129899;1.6;-17.2;801.0;2.0;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.4;12.0
130711;0.8;-18.0;798.0;3.0;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;13.8;12.0
131495;1.6;-17.2;797.0;4.0;20.0;28.0;5590.0;22.4;0.0;5.73;-0.31;14.1;12.0
132273;0.8;-18.0;800.0;2.0;20.0;28.0;5590.0;22.4;0.0;5.73;-0.31;14.7;12.0
133051;0.8;-18.0;799.0;3.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.8;12.0
133833;0.8;-18.0;795.0;3.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.5;12.0
134643;0.8;-18.0;800.0;3.0;20.0;28.0;5590.0;22.4;0.0;5.73;-0.31;14.5;12.0
135452;0.8;-18.0;801.0;3.0;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.7;12.0
136229;0.8;-18.0;800.0;2.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.4;12.0
137040;0.8;-18.0;801.0;3.0;20.0;28.0;5550.0;22.4;0.0;5.73;-0.31;14.4;12.0
137819;0.8;-18.0;799.0;3.0;20.0;28.0;5590.0;22.4;0.0;5.73;-0.31;14.1;12.0
138601;0.8;-17.2;802.0;3.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;13.8;12.0
139410;0.8;-18.0;798.0;3.0;20.0;28.0;5600.0;22.4;0.0;5.73;-0.31;14.7;12.0
140190;0.8;-17.2;798.0;3.0;20.0;28.0;5580.0;22.4;0.0;5.73;-0.31;14.2;12.0
141001;0.8;-18.0;798.0;3.0;20.0;28.0;5630.0;22.4;0.0;5.73;-0.31;14.2;12.0
141810;0.8;-18.0;797.0;3.0;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.8;13.0
142622;1.6;-17.2;804.0;2.0;20.0;28.0;5580.0;22.4;0.0;5.73;-0.31;14.1;13.0
143400;0.8;-18.0;806.0;2.5;20.0;28.0;5550.0;22.4;0.0;5.73;-0.31;14.4;12.0
144211;0.8;-18.0;799.0;3.0;20.0;28.0;5590.0;22.4;0.0;5.73;-0.31;14.5;12.0
145051;0.8;-17.2;799.0;3.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.1;12.0
145831;0.8;-18.0;797.0;4.0;20.0;28.0;5550.0;22.4;0.0;5.73;-0.31;14.1;12.0
146671;0.8;-18.0;799.0;3.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.7;12.0
147450;0.8;-18.0;800.0;2.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.3;12.0
148234;0.8;-18.0;800.0;3.0;20.0;28.0;5580.0;22.7;0.0;5.73;-0.31;14.7;12.0
149101;0.8;-18.0;795.0;8.5;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.6;12.0
149883;0.8;-17.2;799.0;4.5;20.0;28.0;5600.0;22.7;0.0;5.73;-0.31;14.1;12.0
150721;0.8;-18.0;798.0;3.5;20.0;28.0;5540.0;22.4;0.0;5.73;-0.31;14.7;12.0
151530;0.8;-17.2;798.0;4.0;20.0;28.0;5600.0;22.4;0.0;5.73;-0.31;14.8;13.0
152311;1.6;-18.0;805.0;3.5;20.0;28.0;5580.0;22.4;0.0;5.73;-0.31;14.4;12.0
153119;0.8;-17.2;794.0;5.5;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.2;12.0
153900;0.8;-17.2;801.0;3.0;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;13.9;12.0
154715;0.8;-18.0;797.0;3.5;20.0;28.0;5540.0;22.4;0.0;5.73;-0.31;15.0;12.0
155549;1.6;-17.2;797.0;5.0;20.0;28.0;5590.0;22.4;0.0;5.73;-0.31;14.7;12.0
156330;0.8;-18.0;798.0;5.0;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.2;12.0
157110;1.6;-17.2;800.0;3.5;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.4;12.0
157890;1.6;-17.2;797.0;4.0;20.0;28.0;5550.0;22.4;0.0;5.73;-0.31;14.8;12.0
158669;1.6;-17.2;795.0;3.5;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.7;12.0
159451;0.8;-18.0;800.0;2.0;20.0;28.0;5570.0;22.4;0.0;5.73;-0.31;14.1;12.0
160261;1.6;-18.0;803.0;2.0;20.0;28.0;5540.0;22.4;0.0;5.73;-0.31;14.4;12.0
161041;1.6;-18.0;797.0;2.5;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.5;12.0
161820;1.6;-18.0;797.0;4.0;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.3;12.0
162662;1.6;-17.2;806.0;1.0;20.0;28.0;5580.0;22.4;0.0;5.73;-0.31;14.4;12.0
163442;1.6;-18.0;796.0;3.5;20.0;28.0;5590.0;22.4;0.0;5.73;-0.31;14.2;12.0
164254;0.8;-18.0;800.0;3.5;20.0;28.0;5600.0;22.4;0.0;5.73;-0.31;14.1;12.0
165034;0.8;-18.0;797.0;3.5;20.0;28.0;5560.0;22.4;0.0;5.73;-0.31;14.3;12.0
